,Address,Sold,SQFT,DateSold,Estimate,Link,InWorksheet
0,9306 RHODE ISLAND Ave,"$279,945","1,232",10/26/18,"$374,424",https://www.redfin.com/MD/College-Park/9306-Rhode-Island-Ave-20740/home/11098366,N
1,9727 51st Pl,"$334,000","1,176",1/28/19,"$347,308",https://www.redfin.com/MD/College-Park/9727-51st-Pl-20740/home/11089947,N
2,9010 50th Pl,"$303,000","1,180",11/23/18,"$328,600",https://www.redfin.com/MD/College-Park/9010-50th-Pl-20740/home/11081825,N
3,9702 Narragansett Pkwy,"$325,000","1,078",6/8/18,"$362,718",https://www.redfin.com/MD/College-Park/9702-Narragansett-Pkwy-20740/home/11099523,N
4,5007 Iroquois St,"$285,000","1,760",10/29/18,"$368,991",https://www.redfin.com/MD/College-Park/5007-Iroquois-St-20740/home/11100773,N
5,5105 Iroquois St,"$360,000","1,247",1/29/19,"$377,555",https://www.redfin.com/MD/College-Park/5105-Iroquois-St-20740/home/11085972,N
7,9109 49th Ave,"$298,000",716,1/21/19,"$346,241",https://www.redfin.com/MD/College-Park/9109-49th-Ave-20740/home/11105026,N
8,9501 49th Ave,"$319,000","1,232",12/17/18,"$327,307",https://www.redfin.com/MD/College-Park/9501-49th-Ave-20740/home/11098846,N
9,4818 Fox St,"$345,000","2,246",5/30/18,"$377,983",https://www.redfin.com/MD/College-Park/4818-Fox-St-20740/home/11104593,N
10,5017 Indian Ln,"$295,000","1,248",12/5/18,"$364,472",https://www.redfin.com/MD/College-Park/5017-Indian-Ln-20740/home/11081911,N
11,5002 Cree Ln,"$359,000","1,601",6/7/18,"$358,237",https://www.redfin.com/MD/College-Park/5002-Cree-Ln-20740/home/11090823,N
12,5004 Apache St,"$315,000","1,280",8/13/18,"$317,426",https://www.redfin.com/MD/College-Park/5004-Apache-St-20740/home/11096621,N
13,4711 Hollywood Rd,"$346,609","1,650",6/19/18,"$349,965",https://www.redfin.com/MD/College-Park/4711-Hollywood-Rd-20740/home/11080801,N
14,4908 Indian Ln,"$300,000","1,920",12/2/18,"$340,746",https://www.redfin.com/MD/College-Park/4908-Indian-Ln-20740/home/11113520,Y
15,5005 Huron St,"$377,000","1,822",1/30/18,"$375,051",https://www.redfin.com/MD/College-Park/5005-Huron-St-20740/home/11098390,Y
16,9430 Rhode Island Ave,"$345,000","1,514",6/10/18,"$349,965",https://www.redfin.com/MD/College-Park/4711-Hollywood-Rd-20740/home/11080801,Y
17,9606 52nd Ave,"$285,000",896,5/30/18,"$301,606",https://www.redfin.com/MD/College-Park/9606-52nd-Ave-20740/home/11105691,Y
18,5106 Iroquois St,"$320,000",945,6/11/18,"$342,751",https://www.redfin.com/MD/College-Park/5106-Iroquois-St-20740/home/11104046,Y
19,5009 Erie St,"$305,000","1,680",4/3/18,"$343,445",https://www.redfin.com/MD/College-Park/5009-Erie-St-20740/home/11086501,Y
20,9202 Rhode Island Ave,"$290,000","1,080",9/28/18,"$306,017",https://www.redfin.com/MD/College-Park/9202-Rhode-Island-Ave-20740/home/11094139,Y
21,5008 Iroquois St,"$299,900","1,248",9/20/18,"$360,797",https://www.redfin.com/MD/College-Park/5008-Iroquois-St-20740/home/11085800,Y
22,9400 52nd ave,"$299,000","1,325",9/27/18,"$316,713",https://www.redfin.com/MD/College-Park/9400-52nd-Ave-20740/home/11086745,Y
